things,places
"BREADNUTTREE SEEDS,RAW",
"BREADNUTTREE SEEDS,DRIED",
"CHIA SEEDS,DRIED",
"COTTONSEED FLR,PART DEFATTED (GLANDLESS)",
"COTTONSEED FLR,LOFAT (GLANDLESS)",
"COTTONSEED MEAL,PART DEFATTED (GLANDLESS)",
"LOTUS SEEDS,DRIED",
"PUMPKIN&SQUASH SD KRNLS,DRIED",
"PUMPKIN&SQUASH SD KRNLS,RSTD,WO/SALT",
"SAFFLOWER SD KRNLS,DRIED",
"SAFFLOWER SD MEAL,PART DEFATTED",
"SESAME SEEDS,WHOLE,DRIED",
"SESAME SEEDS,WHL,RSTD&TSTD",
"SESAME SD KRNLS,TSTD,WO/SALT (DECORT)",
"SESAME FLR,PART DEFATTED",
"SESAME FLOUR,LOW-FAT",
"SESAME MEAL,PART DEFATTED",
"SUNFLOWER SD KRNLS,DRIED",
"SUNFLOWER SD KRNLS,DRY RSTD,WO/SALT",
"SUNFLOWER SD KRNLS,OIL RSTD,WO/SALT",
"SUNFLOWER SD KRNLS,TSTD,WO/SALT",
"SUNFLOWER SD BUTTER,WO/SALT",
"SUNFLOWER SD FLR,PART DEFATTED",
"ACORNS,RAW",
"ACORNS,DRIED",
"ACORN FLOUR,FULL FAT",
ALMONDS,
"ALMONDS,BLANCHED",
"ALMONDS,DRY RSTD,WO/SALT",
"ALMONDS,OIL RSTD,WO/SALT",
ALMOND PASTE,
"BEECHNUTS,DRIED",
"BRAZILNUTS,DRIED,UNBLANCHED",
"BUTTERNUTS,DRIED",
"CASHEW NUTS,DRY RSTD,WO/SALT",
"CASHEW NUTS,OIL RSTD,WO/SALT",
"NUTS,CASHEW NUTS,RAW",
"CASHEW BUTTER,PLN,WO/SALT",
"CHESTNUTS,CHINESE,RAW",
"CHESTNUTS,CHINESE,DRIED",
"CHESTNUTS,CHINESE,BLD&STMD",
"CHESTNUTS,CHINESE,ROASTED",
"CHESTNUTS,EUROPEAN,RAW,UNPEELED",
"CHESTNUTS,EUROPEAN,RAW,PEELED",
"CHESTNUTS,EUROPEAN,DRIED,UNPEELED",
"CHESTNUTS,EUROPEAN,DRIED,PEELED",
"CHESTNUTS,EUROPEAN,BLD&STMD",
"COCONUT MEAT,RAW",
"COCONUT MEAT,DRIED (DESICCATED),NOT SWTND",
"COCONUT MEAT,DRIED (DESICCATED),SWTND,FLAKED,PACKAGED",
"COCONUT MEAT,DRIED (DESICCATED),SWTND,FLAKED,CND",
"COCONUT MEAT,DRIED (DESICCATED),TSTD",
"COCONUT CRM,RAW (LIQ EXPRESSED FROM GRATED MEAT)",
"NUTS,COCNT CRM,CND,SWTND",
"COCONUT MILK,RAW (LIQ EXPRESSED FROM GRATED MEAT&H2O)",
"COCONUT MILK,CND (LIQ EXPRESSED FROM GRATED MEAT&H2O)",
COCONUT H2O (LIQ FROM COCONUTS),
HAZELNUTS OR FILBERTS,
"HAZELNUTS OR FILBERTS,BLANCHED",
"HAZELNUTS OR FILBERTS,DRY RSTD,WO/SALT",
"GINKGO NUTS,RAW",
"GINKGO NUTS,DRIED",
"GINKGO NUTS,CANNED",
"HICKORYNUTS,DRIED",
"MACADAMIA NUTS,RAW",
"MACADAMIA NUTS,DRY RSTD,WO/SALT",
"MIXED NUTS,DRY RSTD,W/PNUTS,WO/SALT",
"MIXED NUTS,OIL RSTD,W/PNUTS,WO/SALT",
"MIXED NUTS,OIL RSTD,WO/PNUTS,WO/SALT",
"FORMULATED,WHEAT-BASED,UNFLAVORED,W/SALT",
PECANS,
"PECANS,DRY RSTD,WO/SALT",
"PECANS,OIL RSTD,WO/SALT",
"PILINUTS-CANARYTREE,DRIED",
"NUTS,PINE NUTS,DRIED",
"PINE NUTS,PINYON,DRIED",
"PISTACHIO NUTS,RAW",
"PISTACHIO NUTS,DRY RSTD,WO/SALT",
"WALNUTS,BLACK,DRIED",
"WALNUTS,ENGLISH",
"BREADFRUIT SEEDS,ROASTED",
"COTTONSEED KRNLS,RSTD (GLANDLESS)",
"PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT",
"SESAME BUTTER,TAHINI,FROM RSTD&TSTD KRNLS (MOST COMMON TYPE)",
"CHESTNUTS,EUROPEAN,RSTD",
"SESAME BUTTER,PASTE",
"SESAME FLOUR,HIGH-FAT",
"SESAME BUTTER,TAHINI,FROM UNROASTED KRNLS",
"WATERMELON SD KRNLS,DRIED",
"CHESTNUTS,JAPANESE,DRIED",
"COCONUT MILK,FRZ (LIQ EXPRESSED FROM GRATED MEAT&H2O)",
"COCONUT MEAT,DRIED (DESICCATED),CRMD",
"COCONUT MEAT,DRIED (DESICCATED),SWTND,SHREDDED",
"SISYMBRIUM SP. SEEDS,WHL,DRIED",
"ALMOND BUTTER,PLN,WO/SALT",
"SESAME BUTTER,TAHINI,FROM RAW&STONE GROUND KRNLS",
"FORMULATED,WHEAT-BASED,FLAV,MACADAMIA FLAV,WO/SALT",
"FORMULATED,WHEAT-BASED,ALL FLAVORS XCPT MACADAMIA,WO/SALT",
"SESAME SD KRNLS,DRIED (DECORT)",
"CHESTNUTS,JAPANESE,RAW",
"CHESTNUTS,JAPANESE,BLD&STMD",
"CHESTNUTS,JAPANESE,RSTD",
"LOTUS SEEDS,RAW",
"ALMONDS,HONEY RSTD,UNBLANCHED",
"SEEDS,FLAXSEED",
"PUMPKIN&SQUASH SD KRNLS,RSTD,W/SALT",
"SESAME SD KRNLS,TSTD,W/SALT (DECORT)",
"SUNFLOWER SD KRNLS,DRY RSTD,W/SALT",
"SUNFLOWER SD KRNLS,OIL RSTD,W/SALT",
"SUNFLOWER SD KRNLS,TSTD,W/SALT",
"SUNFLOWER SD BUTTER,W/SALT",
"ALMONDS,DRY RSTD,W/SALT",
"ALMONDS,OIL RSTD,W/SALT",
"CASHEW NUTS,DRY RSTD,W/SALT",
"CASHEW NUTS,OIL RSTD,W/SALT",
"CASHEW BUTTER,PLN,W/SALT",
"MACADAMIA NUTS,DRY RSTD,W/SALT",
"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",
"NUTS,MXD NUTS,W/ PNUTS,OIL RSTD,W/ SALT ADDED",
"MIXED NUTS,WO/PNUTS,OIL RSTD,W/SALT",
"PECANS,DRY RSTD,W/SALT",
"PECANS,OIL RSTD,W/SALT",
"PISTACHIO NUTS,DRY RSTD,W/SALT",
"PUMPKIN&SQUASH SEEDS,WHL,RSTD,W/SALT",
"ALMOND BUTTER,PLN,W/SALT",
"SESAME BUTTER,TAHINI,KRNLS UNSPEC",
"BEEF,GRASS-FED,STRIP STEAKS,LN,RAW",
"BEEF,CARCASS,LN&FAT,CHOIC,RAW",
"BEEF,CARCASS,LN&FAT,SEL,RAW",
"BEEF,RTL CUTS,FAT,RAW",
"BEEF,RTL CUTS,FAT,CKD",
"BEEF,BRISKET,WHL,LN,ALL GRDS,RAW",
"BEEF,GRASS-FED,GROUND,RAW",
"BEEF,BRISKET,FLAT HALF,LN & FAT,1/8"" FAT,SEL,CKD,BRSD",
"BEEF,FLANK,LN&FAT,0""FAT,CHOIC,RAW",
"BEEF,FLANK,LN&FAT,0""FAT,CHOIC,CKD,BRLD",
"BEEF,FLANK,LN,0"" FAT,CHOIC,RAW",
"BEEF,FLANK,LN,0"" FAT,CHOIC,CKD,BRSD",
"BEEF,FLANK,LN,0""FAT,CHOIC,CKD,BRLD",
"BEEF,RIB,EYE,SML END (RIBS 10-12),LN&FAT,0""FAT,CHOIC,RAW",
"BF,RIB,EYE,SML END (RIB 10-12),LN & FT,0"" FAT,CHOIC,CKD,BRLD",
"BEEF,RIB,EYE,SML END (RIBS 10-12),LN,0""FAT,CHOIC,RAW",
"BEEF,RIB,EYE,SML END (RIBS 10-12),LN,0""FAT,CHOIC,CKD,BRLD",
"BEEF,RIB,SHORTRIBS,LN&FAT,CHOIC,RAW",
"BEEF,RIB,SHORTRIBS,LN&FAT,CHOIC,CKD,BRSD",
"BEEF,RIB,SHORTRIBS,LN ONLY,CHOIC,RAW",
"BEEF,RIB,SHORTRIBS,LN,CHOIC,CKD,BRSD",
"BEEF,BRISKET,FLAT HALF,LN & FAT,0"" FAT,CHOIC,CKD,BRSD",
"USDA CMDTY,BF,CND",
"BEEF,GROUND,PATTIES,FRZ,CKD,BRLD",
"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",
"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED",
"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,SIMMRD",
"BEEF,VAR MEATS&BY-PRODUCTS,HEART,RAW",
"BEEF,VAR MEATS&BY-PRODUCTS,HEART,CKD,SIMMRD",
"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",
"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,SIMMRD",
"BEEF,VAR MEATS&BY-PRODUCTS,LIVER,RAW",
"BEEF,VAR MEATS & BY-PRODUCTS,LIVER,CKD,BRSD",
"BEEF, VAR MEATS&BY-PRODUCTS, LIVER, CKD, PAN-FRIED",
"BEEF,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",
"BEEF,VAR MEATS&BY-PRODUCTS,LUNGS,CKD,BRSD",
"BEEF,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED BF,RAW",
"BEEF,VAR MEATS&BY-PRODUCTS,PANCREAS,RAW",
"BEEF,VAR MEATS&BY-PRODUCTS,PANCREAS,CKD,BRSD",
"BEEF,VAR MEATS&BY-PRODUCTS,SPLEEN,RAW",
"BEEF,VAR MEATS&BY-PRODUCTS,SPLEEN,CKD,BRSD",
"BEEF,VAR MEATS & BY-PRODUCTS,SUET,RAW",
"BEEF,VAR MEATS&BY-PRODUCTS,THYMUS,RAW",
"BEEF,VAR MEATS&BY-PRODUCTS,THYMUS,CKD,BRSD",
"BEEF,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",
"BEEF,VAR MEATS&BY-PRODUCTS,TONGUE,CKD,SIMMRD",
"BEEF,VAR MEATS&BY-PRODUCTS,TRIPE,RAW",
"BEEF,SNDWCH STEAKS,FLAKED,CHOPD,FORMED & THINLY SLICED,RAW",
"BEEF,BRISKET,FLAT HALF,LN,0"" FAT,CHOIC,CKD,BRSD",
"BEEF,CURED,BRKFST STRIPS,RAW OR UNHTD",
"BEEF,CURED,BRKFST STRIPS,CKD",
"BEEF,CURED,CORNED BF,BRISKET,RAW",
"BEEF,CURED,CORNED BF,BRISKET,CKD",
"BEEF,CURED,CORNED BF,CND",
"BEEF,CURED,DRIED",
"BEEF,CURED,LUNCHEON MEAT,JELLIED",
"BEEF,CURED,PASTRAMI",
"BEEF,CURED,SAUSAGE,CKD,SMOKED",
"BEEF,CURED,SMOKED,CHOPD BF",
"BEEF,CURED,THIN-SLICED BF",
"BEEF,COMP OF RTL CUTS,LN&FAT,0""FAT,ALL GRDS,CKD",
"BEEF,COMP OF RTL CUTS,LN&FAT,0""FAT,CHOIC,CKD",
"BEEF,COMP OF RTL CUTS,LN&FAT,0""FAT,SEL,CKD",
"BEEF,COMP OF RTL CUTS,LN,0"" FAT,ALL GRDS,CKD",
"BEEF,COMP OF RTL CUTS,LN,0""FAT,CHOIC,CKD",
"BEEF,COMP OF RTL CUTS,LN,0""FAT,SEL,CKD",
"BEEF,BRISKET,WHL,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",
"BEEF,BRISKET,WHL,LN,0""FAT,ALL GRDS,CKD,BRSD",
"BEEF,BRISKET,FLAT HALF,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",
"BEEF,BRISKET,FLAT HALF,LN,0""FAT,ALL GRDS,CKD,BRSD",
"BEEF,BRISKET,POINT HALF,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",
"BEEF,BRISKET,POINT HALF,LN,0""FAT,ALL GRDS,CKD,BRSD",
"BEEF,CHUCK,ARM POT RST,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",
"BEEF,CHUCK,ARM POT RST,LN & FAT,0"" FAT,SEL,CKD,BRSD",
"BEEF,CHUCK,ARM POT RST,LN,0""FAT,CHOIC,CKD,BRSD",
"BEEF,CHUCK,ARM POT RST,LN,0""FAT,SEL,CKD,BRSD",
"BEEF,CHUCK,BLADE RST,LN&FAT,0""FAT,CHOIC,CKD,BRSD",
"BEEF,CHUCK,BLADE RST,LN&FAT,0""FAT,SEL,CKD,BRSD",
"BEEF,CHUCK,BLADE RST,LN,0""FAT,ALL GRDS,CKD,BRSD",
"BEEF,CHUCK,BLADE RST,LN,0""FAT,CHOIC,CKD,BRSD",
"BEEF,CHUCK,BLADE RST,LN,0""FAT,SEL,CKD,BRSD",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,0""FAT,CHOIC,CKD,RSTD",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,0""FAT,SEL,CKD,RSTD",
"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,ALL GRDS,CKD,RSTD",
"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,CHOIC,CKD,RSTD",
"BEEF,RIB,LRG END (RIBS 6-9),LN,0""FAT,SEL,CKD,RSTD",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,ALL GRDS,CKD,BRLD",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,CHOIC,CKD,BRLD",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,SEL,CKD,BRLD",
"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,ALL GRDS,CKD,BRLD",
"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,CHOIC,CKD,BRLD",
"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,SEL,CKD,BRLD",
"BEEF,RND,BTTM RND,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",
"BEEF,RND,BTTM RND,LN&FAT,0""FAT,ALL GRDS,CKD,RSTD",
"BEEF,RND,BTTM RND,LN&FAT,0""FAT,CHOIC,CKD,BRSD",
"BEEF,RND,BTTM RND,LN&FAT,0""FAT,CHOIC,CKD,RSTD",
"BEEF,RND,BTTM RND,LN&FAT,0""FAT,SEL,CKD,BRSD",
"BEEF,RND,BTTM RND,LN&FAT,0""FAT,SEL,CKD,RSTD",
"BEEF,RND,BTTM RND,LN,0""FAT,ALL GRDS,CKD,BRSD",
"BEEF,RND,BTTM RND,LN,0""FAT,ALL GRDS,CKD,RSTD",
"BEEF,RND,BTTM RND,LN,0""FAT,CHOIC,CKD,BRSD",
"BEEF,RND,BTTM RND,LN,0""FAT,CHOIC,CKD,RSTD",
"BEEF,RND,BTTM RND,LN,0""FAT,SEL,CKD,BRSD",
"BEEF,RND,BTTM RND RST,LN,0"" FAT,SEL,CKD,RSTD",
"BEEF,RND,EYE OF RND,LN&FAT,0""FAT,ALL GRDS,CKD,RSTD",
"BEEF,RND,EYE OF RND,LN&FAT,0""FAT,CHOIC,CKD,RSTD",
"BEEF,RND,EYE OF RND,LN&FAT,0""FAT,SEL,CKD,RSTD",
"BEEF,RND,EYE OF RND,LN,0""FAT,ALL GRDS,CKD,RSTD",
"BEEF,RND,EYE OF RND,LN,0""FAT,CHOIC,CKD,RSTD",
"BEEF,RND,EYE OF RND,LN,0""FAT,SEL,CKD,RSTD",
"BEEF,RND,TIP RND,LN&FAT,0""FAT,ALL GRDS,CKD,RSTD",
"BEEF,RND,TIP RND,LN&FAT,0""FAT,CHOIC,CKD,RSTD",
"BEEF,RND,TIP RND,LN&FAT,0""FAT,SEL,CKD,RSTD",
"BEEF,RND,TIP RND,LN,0"" FAT,ALL GRDS,CKD,RSTD",
"BEEF,RND,TIP RND,LN,0""FAT,CHOIC,CKD,RSTD",
"BEEF,RND,TIP RND,LN,0"" FAT,SEL,CKD,RSTD",
"BEEF,RND,TOP RND,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",
"BEEF,RND,TOP RND,LN&FAT,0""FAT,CHOIC,CKD,BRSD",
"BEEF,RND,TOP RND,LN&FAT,0""FAT,SEL,CKD,BRSD",
"BEEF,RND,TOP RND,LN,0""FAT,ALL GRDS,CKD,BRSD",
"BEEF,RND,TOP RND,LN,0""FAT,CHOIC,CKD,BRSD",
"BEEF,RND,TOP RND,LN,0""FAT,SEL,CKD,BRSD",
"BEEF,TENDERLOIN,LN&FAT,0""FAT,ALL GRDS,CKD,BRLD",
"BEEF,TENDERLOIN,LN&FAT,0""FAT,CHOIC,CKD,BRLD",
"BEEF,TENDERLOIN,LN&FAT,0""FAT,SEL,CKD,BRLD",
"BEEF,TENDERLOIN,LN,0""FAT,ALL GRDS,CKD,BRLD",
"BEEF,TENDERLOIN,LN,0""FAT,CHOIC,CKD,BRLD",
"BEEF,TENDERLOIN,LN,0""FAT,SEL,CKD,BRLD",
"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,0""FAT,ALL GRDS,CKD,BRLD",
"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,0""FAT,CHOIC,CKD,BRLD",
"BEEF,SHRT LOIN,TOP LOIN,LN & FAT,0"" FAT,SEL,CKD,BRLD",
"BEEF,SHRT LOIN,TOP LOIN,LN,0""FAT,ALL GRDS,CKD,BRLD",
"BEEF,SHRT LOIN,TOP LOIN,LN,0""FAT,CHOIC,CKD,BRLD",
"BEEF,SHRT LOIN,TOP LOIN,LN,0""FAT,SEL,CKD,BRLD",
"BEEF,TOP SIRLOIN,LN&FAT,0""FAT,ALL GRDS,CKD,BRLD",
"BEEF,TOP SIRLOIN,LN&FAT,0""FAT,CHOIC,CKD,BRLD",
"BEEF,TOP SIRLOIN,LN&FAT,0""FAT,SEL,CKD,BRLD",
"BEEF,TOP SIRLOIN,LN,0""FAT,ALL GRDS,CKD,BRLD",
"BEEF,TOP SIRLOIN,LN,0""FAT,CHOIC,CKD,BRLD",
"BEEF,TOP SIRLOIN,LN,0""FAT,SEL,CKD,BRLD",
"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",
"BEEF,LOIN,PRTRHS STK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD",
"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,0"" FAT,USDA SEL,CKD,BRLD",
"BEEF,SHRT LOIN,PRTRHS STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",
"BEEF,SHRT LOIN,PRTRHS STEAK,LN, 0"" FAT,USDA CHOIC,CKD,BRLD",
"BEEF,SHRT LOIN,PRTRHS STEAK,LN ONLY,0"" FAT,USDA SEL,CKD,BRLD",
"BEEF,SHRT LOIN,T-BONE STK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",
"BEEF,LOIN,T-BONE STEAK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD",
"BEEF,SHRT LOIN,T-BONE STK,LN & FAT,0"" FAT,USDA SEL,CKD,BRLD",
"BEEF,SHRT LOIN,T-BONE STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",
"BEEF,SHRT LOIN,T-BONE STEAK,LN,0"" FAT,USDA CHOIC,CKD,BRLD",
"BEEF,SHRT LOIN,T-BONE STEAK,LN, 0"" FAT,USDA SEL,CKD,BRLD",
"BEEF,BRISKET,FLAT HALF,LN,0"" FAT,SEL,CKD,BRSD",
"BEEF,RND,TIP RND,LN & FAT,0"" FAT,ALL GRDS,RAW",
"BEEF,RND,TIP RND,LN & FAT,0"" FAT,CHOIC,RAW",
"BEEF,RND,TIP RND,LN & FAT,0"" FAT,SEL,RAW",
"BEEF,RIB,EYE,SML END (RIBS 10- 12) LN,0"" FAT,SEL,CKD,BRLD",
"BEEF,RND,TOP RND,LN,0"" FAT,ALL GRDS,CKD,BRLD",
"BEEF,RND,TOP RND,LN,0"" FAT,CHOIC,CKD,BRLD",
"BEEF,RND,TOP RND,LN,0"" FAT,SEL,CKD,BRLD",
"BEEF,GROUND,70% LN MEAT / 30% FAT,CRUMBLES,CKD,PAN-BROWNED",
"BEEF,GROUND,70% LN MEAT / 30% FAT,LOAF,CKD,BKD",
"BEEF,GROUND,70% LN MEAT / 30% FAT,PATTY CKD,PAN-BROILED",
"BEEF,GROUND,70% LN MEAT / 30% FAT,PATTY,CKD,BRLD",
"BEEF,GROUND,70% LN MEAT / 30% FAT,RAW",
"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,ALL GRDS,CKD",
"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CHOIC,CKD",
"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,SEL,CKD",
"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,PRIME,RAW",
"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,PRIME,CKD",
"BEEF,BRISKET,WHL,LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,BRISKET,WHL,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD",
"BEEF,BRISKET,FLAT HALF,LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,BRISKET,FLAT HALF,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD",
"BEEF,BRISKET,POINT HALF,LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,BRISKET,POINT HALF,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD",
"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD",
"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",
"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,SEL,CKD,BRSD",
"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD",
"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",
"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,SEL,CKD,BRSD",
"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",
"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD",
"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",
"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",
"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD",
"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD",
"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,RAW",
"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",
"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,CKD,BRLD",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,SEL,CKD,RSTD",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,RAW",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",
"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BR",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,RS",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,BRLD",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,CKD,RSTD",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,RAW",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,CKD,BRLD",
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,CKD,RSTD",
"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",
"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,SEL,CKD,BRLD",
"BEEF,RND,BTTM RND,LN&FAT,1/8""FAT,ALL GRDS,RAW",
"BEEF,RND,BTTM RND,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD",
"BEEF,RND,BTTM RND,LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD",
"BEEF,RND,BTTM RND,LN&FAT,1/8""FAT,CHOIC,RAW",
"BEEF,RND,BTTM RND,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",
"BEEF,RND,BTTM RND,LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",
"BEEF,RND,BTTM RND,LN&FAT,1/8""FAT,SEL,RAW",
"BEEF,RND,BTTM RND,LN & FAT,1/8"" FAT,SEL,CKD,BRSD",
"BEEF,RND,BTTM RND,LN&FAT,1/8""FAT,SEL,CKD,RSTD",
"BEEF,RND,EYE OF RND,LN&FAT,1/8""FAT,ALL GRDS,RAW",
