things,places
"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",BOB'S BAR
"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",BOB'S OLDIE'S CAF
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",BOCCACCIO
"MILK,CND,EVAP,W/ VIT A",BOP BRICK OVEN PIZZA
"MILK,DRY,NONFAT,REG,W/ VIT A",BOUILLABAISSE CAF
"MILK,DRY,NONFAT,INST,WO/ VIT A",BOULDER GARDEN CAFE
"CHEESE,GOAT,HARD TYPE",BRASS MONKEY SALOON
"CHEESE,GOAT,SEMISOFT TYPE",BRASSERIE TATIN
"CHEESE,GOAT,SOFT TYPE",BREEZE INC.
"EGG,YOLK,RAW,FRZ,SALTED","BRENDAL, INC."
"CHEESE SUB,MOZZARELLA",BREWER'S HILL PUB & GRILL
CHEESE FONDUE,BREWSTER'S TAVERN
"CHEESE SAU,PREP FROM RECIPE",BROADWAY DINER
"CHEESE,MEXICAN,QUESO ANEJO",BROOKEY'S
"CHEESE,MEXICAN,QUESO ASADERO",BROOKLYN BOOSTER CLUB
"CHEESE,MEXICAN,QUESO CHIHUAHUA","BROOKLYN INN, LLC"
"CHEESE,LOFAT,CHEDDAR OR COLBY",BROOKLYN PLEASURE CLUB
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","BROTHERS PLACE, INC."
"EGG,WHOLE,RAW,FROZEN","BRUCE MCKELDIN CONSULTING, LLC"
"EGG,WHITE,RAW,FROZEN",BUD PAOLINO'S RESTAURANT
"EGG,WHITE,DRIED",BUFFALO WINGGS AND BEER
"SOUR CREAM,REDUCED FAT",BULL ROBINSON  LIQUORS (AKA 2736 GREENMOUNT AV
"SOUR CREAM,LIGHT",BULLSEYE BAR & GRILLE
"SOUR CREAM,FAT FREE",BURGER KING
"USDA COMMODITY,CHS,CHEDDAR,RED FAT",BURGER KING
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",BURGER KING
"PARMESAN CHS TOPPING,FAT FREE",BURGER KING
"CHEESE,CREAM,FAT FREE",BURGER KING # 10293
"YOGURT,CHOC,NONFAT MILK",BURGER KING # 13360
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,BURGER KING #10294
